movieId,index
1135520,1816
1138545,1817
234845,1818
456770,1819
280211,1820
352573,1821
755388,1822
358458,1823
139533,1824
1018972,1825
350468,1826
20049,1827
280293,1828
872659,1829
472454,1830
581104,1831
543413,1832
901489,1833
354825,1834
705244,1835
60578,1836
458088,1837
657996,1838
1379877,1839
541030,1840
115265,1841
1599099,1842
1512764,1843
66204,1844
925771,1845
63636,1846
63678,1847
1131315,1848
237724,1849
391778,1850
987400,1851
5889,1852
5890,1853
19026,1854
1370123,1855
1485274,1856
1478531,1857
1645191,1858
4435,1859
1068829,1860
522495,1861
1219392,1862
1218323,1863
1582610,1864
222951,1865
18526,1866
1570970,1867
827325,1868
685691,1869
1591386,1870
1608100,1871
1579400,1872
1606785,1873
765169,1874
1603084,1875
1626287,1876
1417797,1877
1571217,1878
1307028,1879
740996,1880
409421,1881
1319451,1882
1104844,1883
937446,1884
1011747,1885
1589968,1886
1586508,1887
451945,1888
1562418,1889
1090486,1890
1579276,1891
1135965,1892
1628123,1893
568300,1894
1022102,1895
1628116,1896
1063453,1897
1588861,1898
1337475,1899
1555215,1900
48184,1901
505785,1902
1557676,1903
41902,1904
181882,1905
441894,1906
391629,1907
496316,1908
594669,1909
758923,1910
1570976,1911
1366123,1912
331520,1913
55795,1914
23783,1915
1629794,1916
1188338,1917
392344,1918
49074,1919
117005,1920
496533,1921
556907,1922
143421,1923
19657,1924
66243,1925
228749,1926
155153,1927
9598,1928
1621978,1929
1564958,1930
302129,1931
686343,1932
235430,1933
1582258,1934
459803,1935
410572,1936
461809,1937
314389,1938
894730,1939
751496,1940
1138790,1941
339403,1942
1083241,1943
54330,1944
1097549,1945
615777,1946
262551,1947
331836,1948
636672,1949
255993,1950
461162,1951
715765,1952
631632,1953
129439,1954
1533928,1955
1552089,1956
1399790,1957
872012,1958
15864,1959
1372774,1960
1629728,1961
993710,1962
1610746,1963
998846,1964
432087,1965
383869,1966
105,1967
165,1968
196,1969
770254,1970
650524,1971
1520583,1972
1174698,1973
1083381,1974
26773,1975
446159,1976
1111869,1977
1555860,1978
9737,1979
8961,1980
38700,1981
573435,1982
386874,1983
673407,1984
140,1985
1602377,1986
455714,1987
1403839,1988
25649,1989
1579288,1990
1323784,1991
1619195,1992
1267116,1993
1214361,1994
376659,1995
984101,1996
498249,1997
375846,1998
52449,1999
1646851,2000
1630440,2001
945400,2002
276846,2003
546761,2004
1043887,2005
1631468,2006
676223,2007
302142,2008
391549,2009
936622,2010
46373,2011
586344,2012
754716,2013
547654,2014
493602,2015
581361,2016
933131,2017
323517,2018
496526,2019
529939,2020
498812,2021
37822,2022
69653,2023
80921,2024
77715,2025
413646,2026
1567910,2027
1251011,2028
69648,2029
1600998,2030
39839,2031
1520495,2032
882401,2033
777292,2034
1605200,2035
343214,2036
1074597,2037
1162471,2038
463185,2039
159187,2040
1492086,2041
410336,2042
873108,2043
411717,2044
382788,2045
3134,2046
362045,2047
1556919,2048
348892,2049
1529088,2050
981371,2051
1263421,2052
1651779,2053
1636714,2054
1483549,2055
520430,2056
839439,2057
1619378,2058
579230,2059
830349,2060
1092632,2061
567895,2062
494401,2063
1031224,2064
1442211,2065
529264,2066
528922,2067
1623828,2068
1415369,2069
280198,2070
462571,2071
1023924,2072
1533259,2073
240307,2074
1266992,2075
1272166,2076
430475,2077
541671,2078
961268,2079
1646058,2080
412853,2081
1084577,2082
